relationship_type,source_ref,target_ref
uses,intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345
uses,malware--b8d48deb-450c-44f6-a934-ac8765aa89cb,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9
uses,malware--b143dfa4-e944-43ff-8429-bfffc308c517,attack-pattern--f3c544dc-673c-4ef3-accb-53229f1ae077
uses,malware--f74a5069-015d-4404-83ad-5ca01056c0dc,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62
uses,intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd,malware--b1de6916-7a22-4460-8d26-6b5483ffaa2a
uses,malware--fc774af4-533b-4724-96d2-ac1026316794,attack-pattern--635cbe30-392d-4e27-978e-66774357c762
mitigates,course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,attack-pattern--543fceb5-cb92-40cb-aacf-6913d4db58bc
mitigates,course-of-action--23843cff-f7b9-4659-a7b7-713ef347f547,attack-pattern--389735f1-f21c-4208-b8f0-f8031e7169b8
uses,malware--f1314e75-ada8-49f4-b281-b1fb8b48f2a7,attack-pattern--22905430-4901-4c2a-84f6-98243cb173f8
uses,malware--8c1d01ff-fdc0-4586-99bd-c248e0761af5,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67
uses,intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
uses,campaign--df74f7ad-b10d-431c-9f1d-a2bc18dadefa,attack-pattern--830c9528-df21-472c-8c14-a036bf17d665
uses,malware--92b03a94-7147-4952-9d5a-b4d24da7487c,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
mitigates,course-of-action--a2c36a5d-4058-475e-8e77-fff75e50d3b9,attack-pattern--61afc315-860c-4364-825d-0d62b2e91edc
detects,x-mitre-data-component--9f387817-df83-432a-b56b-a8fb7f71eedd,attack-pattern--41868330-6ee2-4d0f-b743-9f2294c3c9b6
subtechnique-of,attack-pattern--a1b52199-c8c5-438a-9ded-656f1d0888c6,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
uses,intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,tool--ff6caf67-ea1f-4895-b80e-4bb0fc31c6db
uses,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d
detects,x-mitre-data-component--2b3bfe19-d59a-460d-93bb-2f546adc2d2c,attack-pattern--79a47ad0-fc3b-4821-9f01-a026b1ddba21
uses,malware--bb3c1098-d654-4620-bf40-694386d28921,attack-pattern--c21d5a77-d422-4a69-acd7-2c53c1faa34b
detects,x-mitre-data-component--84572de3-9583-4c73-aabd-06ea88123dd8,attack-pattern--4ab929c6-ee2d-4fb5-aab4-b14be2ed7179
uses,malware--c541efb4-e7b1-4ad6-9da8-b4e113f5dd42,attack-pattern--a2029942-0a85-4947-b23c-ca434698171d
uses,malware--fb575479-14ef-41e9-bfab-0b7cf10bec73,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,tool--b77b563c-34bb-4fb8-86a3-3694338f7b47
uses,tool--75d8b521-6b6a-42ff-8af3-d97e20ce12a5,attack-pattern--e64c62cf-9cd7-4a14-94ec-cdaac43ab44b
uses,intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580
uses,malware--08e844a8-371f-4fe3-9d1f-e056e64a7fde,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c
uses,malware--94d6d788-07bb-4dcc-b62f-e02626b00108,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670
subtechnique-of,attack-pattern--0cfe31a7-81fc-472c-bc45-e2808d1066a3,attack-pattern--5909f20f-3c39-4795-be06-ef1ea40d350b
uses,malware--eff1a885-6f90-42a1-901f-eef6e7a1905e,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9
mitigates,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--4fe28b27-b13c-453e-a386-c2ef362a573b
uses,malware--919a056e-5104-43b9-ad55-2ac929108b71,attack-pattern--be055942-6e63-49d7-9fa1-9cb7d8a8f3f4
uses,tool--4b57c098-f043-4da2-83ef-7588a6d426bc,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0
uses,malware--7724581b-06ff-4d2b-b77c-80dc8d53070b,attack-pattern--f4599aa0-4f85-4a32-80ea-fc39dc965945
uses,intrusion-set--6eded342-33e5-4451-b6b2-e1c62863129f,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7
uses,malware--b1de6916-7a22-4460-8d26-6b5483ffaa2a,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
detects,x-mitre-data-component--3d20385b-24ef-40e1-9f56-f39750379077,attack-pattern--84601337-6a55-4ad7-9c35-79e0d1ea2ab3
uses,intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
uses,malware--4800d0f9-00aa-47cd-a4d2-92198585b8fd,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18
uses,malware--de6cb631-52f6-4169-a73b-7965390b0c30,attack-pattern--34e793de-0274-4982-9c1a-246ed1c19dee
uses,intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839
uses,malware--a7881f21-e978-4fe4-af56-92c9416a2616,attack-pattern--eb062747-2193-45de-8fa2-e62549c37ddf
uses,malware--29231689-5837-4a7a-aafc-1b65b3f50cc7,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670
uses,intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,attack-pattern--65013dd2-bc61-43e3-afb5-a14c4fa7437a
uses,malware--32066e94-3112-48ca-b9eb-ba2b59d2f023,attack-pattern--bf176076-b789-408e-8cba-7275e81c0ada
uses,malware--a7881f21-e978-4fe4-af56-92c9416a2616,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670
uses,tool--3433a9e8-1c47-4320-b9bf-ed449061d1c3,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736
uses,tool--3a53b207-aba2-4a2b-9cdb-273d633669e7,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
mitigates,course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
uses,malware--bfd2738c-8b43-43c3-bc9f-d523c8e88bf4,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c
mitigates,course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46,attack-pattern--208884f1-7b83-4473-ac22-4e1cf6c41471
uses,intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960,attack-pattern--3489cfc5-640f-4bb3-a103-9137b97de79f
uses,intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,attack-pattern--8c41090b-aa47-4331-986b-8c9a51a91103
uses,intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,attack-pattern--3b0e52ce-517a-4614-a523-1bd5deef6c5e
detects,x-mitre-data-component--685f917a-e95e-4ba0-ade1-c7d354dae6e0,attack-pattern--6e3bd510-6b33-41a4-af80-2d80f3ee0071
uses,malware--5faaf81a-aa5b-4a4b-bae5-522439e068f8,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c
uses,malware--eac3d77f-2b7b-4599-ba74-948dc16633ad,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67
detects,x-mitre-data-component--9c2fa0ae-7abc-485a-97f6-699e3b6cf9fa,attack-pattern--38eb0c22-6caf-46ce-8869-5964bd735858
mitigates,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--70d81154-b187-45f9-8ec5-295d01255979
uses,tool--cb69b20d-56d0-41ab-8440-4a4b251614d4,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688
uses,malware--bd7a9e13-69fa-4243-a5e5-04326a63f9f2,attack-pattern--42fe883a-21ea-4cfb-b94a-78b6476dcc83
uses,intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
uses,malware--ac61f1f9-7bb1-465e-9b8a-c2ce8e88baf5,attack-pattern--28170e17-8384-415c-8486-2e6b294cb803
uses,malware--a04d9a4c-bb52-40bf-98ec-e350c2d6a862,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5
uses,malware--4b6ec280-7bbb-48ff-ae59-b189520ebe83,attack-pattern--4ab929c6-ee2d-4fb5-aab4-b14be2ed7179
uses,malware--3161d76a-e2b2-4b97-9906-24909b735386,attack-pattern--c21d5a77-d422-4a69-acd7-2c53c1faa34b
uses,tool--c4810609-7da6-48ec-8057-1b70a7814db0,attack-pattern--1644e709-12d2-41e5-a60f-3470991f5011
detects,x-mitre-data-component--a7f22107-02e5-4982-9067-6625d4a1765a,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea
detects,x-mitre-data-component--235b7491-2d2b-4617-9a52-3c0783680f71,attack-pattern--1e9eb839-294b-48cc-b0d3-c45555a2a004
subtechnique-of,attack-pattern--fa44a152-ac48-441e-a524-dd7b04b8adcd,attack-pattern--f4c1826f-a322-41cd-9557-562100848c84
uses,campaign--ae407e32-87e0-4d92-8705-3ae25d504d8a,attack-pattern--c3d4bdd9-2cfe-4a80-9d0c-07a29ecdce8f
uses,tool--cb69b20d-56d0-41ab-8440-4a4b251614d4,attack-pattern--837f9164-50af-4ac0-8219-379d8a74cefc
uses,malware--6a0ef5d4-fc7c-4dda-85d7-592e4dbdc5d9,attack-pattern--322bad5a-1c49-4d23-ab79-76d641794afa
uses,intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,tool--afc079f3-c0ea-4096-b75d-3f05338b7f60
uses,malware--db1355a7-e5c9-4e2c-8da7-eccf2ae9bf5c,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688
subtechnique-of,attack-pattern--51e54974-a541-4fb6-a61b-0518e4c6de41,attack-pattern--a51eb150-93b1-484b-a503-e51453b127a4
uses,malware--32066e94-3112-48ca-b9eb-ba2b59d2f023,attack-pattern--837f9164-50af-4ac0-8219-379d8a74cefc
uses,intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,attack-pattern--348f1eef-964b-4eb6-bb53-69b3dcb0c643
uses,intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,malware--069af411-9b24-4e85-b26c-623d035bbe84
uses,campaign--808d6b30-df4e-4341-8248-724da4bac650,attack-pattern--21875073-b0ee-49e3-9077-1e2a885359af
uses,campaign--ae407e32-87e0-4d92-8705-3ae25d504d8a,tool--b07c2c47-fefb-4d7c-a69e-6a3296171f54
uses,intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,attack-pattern--212306d8-efa4-44c9-8c2d-ed3d2e224aa0
uses,malware--efa7c4d6-8e30-41d9-a8fd-26dc337f4a1b,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c
uses,intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,attack-pattern--32901740-b42c-4fdd-bc02-345b5dc57082
uses,intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,attack-pattern--c2e147a9-d1a8-4074-811a-d8789202d916
uses,malware--bf48e7f8-752c-4ce8-bf8f-748edacd8fa6,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580
uses,tool--79dd477a-8226-4b3d-ad15-28623675f221,attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336
detects,x-mitre-data-component--9c2fa0ae-7abc-485a-97f6-699e3b6cf9fa,attack-pattern--f4c1826f-a322-41cd-9557-562100848c84
uses,malware--d1b7830a-fced-4be3-a99c-f495af9d9e1b,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104
detects,x-mitre-data-component--3d20385b-24ef-40e1-9f56-f39750379077,attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce
uses,malware--e2d34c63-6f5a-41f5-86a2-e2380f27f858,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
uses,malware--cc5497f7-a9e8-436f-94da-b2b4a9b9ad3c,attack-pattern--9a60a291-8960-4387-8a4a-2ab5c18bb50b
detects,x-mitre-data-component--84572de3-9583-4c73-aabd-06ea88123dd8,attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334
uses,campaign--7854c1a0-f06c-4876-98a4-4bbd34751b05,attack-pattern--c3d4bdd9-2cfe-4a80-9d0c-07a29ecdce8f
detects,x-mitre-data-component--3772e279-27d6-477a-9fe3-c6beb363594c,attack-pattern--bf1b6176-597c-4600-bfcd-ac989670f96b
uses,malware--be25c1c0-1590-4219-a3d5-6f31799d1d1b,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32
uses,intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,tool--bba595da-b73a-4354-aa6c-224d4de7cb4e
detects,x-mitre-data-component--a7f22107-02e5-4982-9067-6625d4a1765a,attack-pattern--fb8d023d-45be-47e9-bc51-f56bcae6435b
uses,tool--da04ac30-27da-4959-a67d-450ce47d9470,attack-pattern--eb062747-2193-45de-8fa2-e62549c37ddf
mitigates,course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32
uses,malware--49fee0b0-390e-4bde-97f8-97ed46bd19b7,attack-pattern--4933e63b-9b77-476e-ab29-761bc5b7d15a
uses,malware--99fdf3b4-96ef-4ab9-b191-fc683441cad0,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18
mitigates,course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc,attack-pattern--2b5aa86b-a0df-4382-848d-30abea443327
uses,malware--6c2550d5-a01a-4bbb-a004-6ead348ba623,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4
uses,malware--97cfbdc6-504d-41e9-a46c-78a9f806ff0d,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670
uses,intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,tool--ff6caf67-ea1f-4895-b80e-4bb0fc31c6db
uses,malware--03acae53-9b98-46f6-b204-16b930839055,attack-pattern--b8902400-e6c5-4ba2-95aa-2d35b442b118
mitigates,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,attack-pattern--3fc9b85a-2862-4363-a64d-d692e3ffbee0
uses,campaign--ae407e32-87e0-4d92-8705-3ae25d504d8a,attack-pattern--3ee16395-03f0-4690-a32e-69ce9ada0f9e
uses,malware--7f4bbe05-1674-4087-8a16-8f1ad61b6152,attack-pattern--5bfccc3f-2326-4112-86cc-c1ece9d8a2b5
uses,intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
uses,malware--21583311-6321-4891-8a37-3eb4e57b0fb1,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5
uses,malware--be25c1c0-1590-4219-a3d5-6f31799d1d1b,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
detects,x-mitre-data-component--3d20385b-24ef-40e1-9f56-f39750379077,attack-pattern--bc0f5e80-91c0-4e04-9fbb-e4e332c85dae
uses,malware--d3afa961-a80c-4043-9509-282cdf69ab21,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32
uses,malware--21583311-6321-4891-8a37-3eb4e57b0fb1,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161
uses,intrusion-set--16ade1aa-0ea1-4bb7-88cc-9079df2ae756,malware--2a6f4c7b-e690-4cc7-ab6b-1f821fb6b80b
uses,campaign--78068e68-4124-4243-b6f4-76e4e5be8a06,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055
subtechnique-of,attack-pattern--b0533c6e-8fea-4788-874f-b799cacc4b92,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
uses,malware--a5575606-9b85-4e3d-9cd2-40ef30e3672d,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,malware--6cd07296-14aa-403d-9229-6343d03d4752,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32
uses,malware--2a59a237-1530-4d55-91f9-2aebf961cc37,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
uses,intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,attack-pattern--fb8d023d-45be-47e9-bc51-f56bcae6435b
subtechnique-of,attack-pattern--ed2e45f9-d338-4eb2-8ce5-3a2e03323bc1,attack-pattern--144e007b-e638-431d-a894-45d90c54ab90
uses,intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161
uses,malware--4e9bdf9a-4957-47f6-87b3-c76898d3f623,attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579
uses,malware--b2d134a1-7bd5-4293-94d4-8fc978cb1cd7,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
uses,intrusion-set--7f848c02-4d1e-4808-a4ae-4670681370a9,malware--97cfbdc6-504d-41e9-a46c-78a9f806ff0d
detects,x-mitre-data-component--9bde2f9d-a695-4344-bfac-f2dce13d121e,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4
uses,malware--5dd649c0-bca4-488b-bd85-b180474ec62e,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0
uses,malware--47afe41c-4c08-485e-b062-c3bd209a1cce,attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5
uses,malware--03eb4a05-6a02-43f6-afb7-3c7835501828,attack-pattern--cbb66055-0325-4111-aca0-40547b6ad5b0
detects,x-mitre-data-component--685f917a-e95e-4ba0-ade1-c7d354dae6e0,attack-pattern--7de1f7ac-5d0c-4c9c-8873-627202205331
revoked-by,attack-pattern--ce73ea43-8e77-47ba-9c11-5e9c9c58b9ff,attack-pattern--8c4aef43-48d5-49aa-b2af-c0cd58d30c3d
uses,malware--60a9c2f0-b7a5-4e8e-959c-e1a3ff314a5f,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4
uses,malware--e33e4603-afab-402d-b2a1-248d435b5fe0,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
uses,intrusion-set--94873029-f950-4268-9cfd-5032e15cb182,attack-pattern--b97f1d35-4249-4486-a6b5-ee60ccf24fab
uses,intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,attack-pattern--6151cbea-819b-455a-9fa6-99a1cc58797d
uses,malware--df4cd566-ff2f-4d08-976d-8c86e95782de,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670
uses,intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,malware--aea6d6b8-d832-4c90-a1bb-f52c6684db6c
uses,malware--a5528622-3a8a-4633-86ce-8cdaf8423858,attack-pattern--86850eff-2729-40c3-b85e-c4af26da4a2d
uses,malware--3a4197ae-ec63-4162-907b-9a073d1157e4,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104
uses,malware--dcd9548e-df9e-47c2-81f3-bc084289959d,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
subtechnique-of,attack-pattern--bd5b58a4-a52d-4a29-bc0d-3f1d3968eb6b,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
uses,intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,attack-pattern--c325b232-d5bc-4dde-a3ec-71f3db9e8adc
uses,malware--da5880b4-f7da-4869-85f2-e0aba84b8565,attack-pattern--54b4c251-1f0e-4eba-ba6b-dbc7a6f6f06b
uses,malware--3a0f6128-0a01-421d-8eca-e57d8671b1f1,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18
uses,tool--6dbdc657-d8e0-4f2f-909b-7251b3e72c6d,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735
detects,x-mitre-data-component--9ce98c86-8d30-4043-ba54-0784d478d0b5,attack-pattern--2db31dcd-54da-405d-acef-b9129b816ed6
uses,intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5
uses,intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd
uses,malware--1b9f0800-035e-4ed1-9648-b18294cc5bc8,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,intrusion-set--813636db-3939-4a45-bea9-6113e970c029,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0
uses,malware--fde19a18-e502-467f-be14-58c71b4e7f4b,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4
detects,x-mitre-data-component--1dad5aa4-4bb5-45e4-9e42-55d40003cfa6,attack-pattern--ce0687a0-e692-4b77-964a-0784a8e54ff1
uses,malware--4800d0f9-00aa-47cd-a4d2-92198585b8fd,attack-pattern--5d0d3609-d06d-49e1-b9c9-b544e0c618cb
uses,malware--919a056e-5104-43b9-ad55-2ac929108b71,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62
uses,intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
uses,malware--79499993-a8d6-45eb-b343-bf58dea5bdde,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32
uses,malware--5c6ed2dc-37f4-40ea-b2e1-4c76140a388c,attack-pattern--cc3502b5-30cc-4473-ad48-42d51a6ef6d1
uses,intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0
uses,intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,attack-pattern--bf176076-b789-408e-8cba-7275e81c0ada
uses,malware--4b6ec280-7bbb-48ff-ae59-b189520ebe83,attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662
uses,malware--5faaf81a-aa5b-4a4b-bae5-522439e068f8,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
uses,intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,attack-pattern--212306d8-efa4-44c9-8c2d-ed3d2e224aa0
detects,x-mitre-data-component--84572de3-9583-4c73-aabd-06ea88123dd8,attack-pattern--8c4aef43-48d5-49aa-b2af-c0cd58d30c3d
uses,malware--0715560d-4299-4e84-9e20-6e80ab57e4f2,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
revoked-by,attack-pattern--68c96494-1a50-403e-8844-69a6af278c68,attack-pattern--98034fef-d9fb-4667-8dc4-2eab6231724c
mitigates,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--379809f6-2fac-42c1-bd2e-e9dee70b27f8
uses,malware--df4cd566-ff2f-4d08-976d-8c86e95782de,attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c
mitigates,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--144e007b-e638-431d-a894-45d90c54ab90
uses,malware--198db886-47af-4f4c-bff5-11b891f85946,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736
uses,malware--d6b3fcd0-1c86-4350-96f0-965ed02fcc51,attack-pattern--06c00069-771a-4d57-8ef5-d3718c1a8771
uses,intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694,malware--de6cb631-52f6-4169-a73b-7965390b0c30
uses,intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662
uses,malware--6c575670-d14c-4c7f-9b9d-fd1b363e255d,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161
uses,malware--68dca94f-c11d-421e-9287-7c501108e18c,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4
detects,x-mitre-data-component--84572de3-9583-4c73-aabd-06ea88123dd8,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
uses,malware--2eaa5319-5e1e-4dd7-bbc4-566fced3964a,attack-pattern--692074ae-bb62-4a5e-a735-02cb6bde458c
uses,malware--6e95feb1-78ee-48d3-b421-4d76663b5c49,attack-pattern--c21d5a77-d422-4a69-acd7-2c53c1faa34b
uses,malware--efece7e8-e40b-49c2-9f84-c55c5c93d05c,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4
uses,malware--86b92f6c-9c05-4c51-b361-4c7bb13e21a1,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e
uses,malware--5c747acd-47f0-4c5a-b9e5-213541fc01e0,attack-pattern--deb98323-e13f-4b0c-8d94-175379069062
uses,malware--cc5497f7-a9e8-436f-94da-b2b4a9b9ad3c,attack-pattern--d511a6f6-4a33-41d5-bc95-c343875d1377
uses,malware--4b68b5ea-2e1b-4225-845b-8632f702b9a0,attack-pattern--cd25c1b4-935c-4f0e-ba8d-552f28bc4783
uses,malware--d9f7383c-95ec-4080-bbce-121c9384457b,attack-pattern--5bfccc3f-2326-4112-86cc-c1ece9d8a2b5
uses,malware--75bba379-4ba1-467e-8c60-ec2b269ee984,attack-pattern--25659dd6-ea12-45c4-97e6-381e3e4b593e
uses,intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
uses,malware--5dd649c0-bca4-488b-bd85-b180474ec62e,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,malware--50c44c34-3abb-48ae-9433-a2337de5b0bc,attack-pattern--bf90d72c-c00b-45e3-b3aa-68560560d4c5
uses,malware--09b2cd76-c674-47cc-9f57-d2f2ad150a46,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0
uses,malware--82cb34ba-02b5-432b-b2d2-07f55cbf674d,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688
uses,malware--97cfbdc6-504d-41e9-a46c-78a9f806ff0d,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
uses,malware--958b5d06-8bb0-4c5b-a2e7-0130fe654ac7,attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9
subtechnique-of,attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
uses,intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597
uses,malware--bdee9574-7479-4073-a7dc-e86d8acd073a,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104
uses,intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,malware--54cc1d4f-5c53-4f0e-9ef5-11b4998e82e4,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055
mitigates,course-of-action--e5d930e9-775a-40ad-9bdb-b941d8dfe86b,attack-pattern--e624264c-033a-424d-9fd7-fc9c3bbdb03e
uses,malware--7343e208-7cab-45f2-a47b-41ba5e2f0fab,attack-pattern--5bfccc3f-2326-4112-86cc-c1ece9d8a2b5
uses,malware--5633ffd3-81ef-4f98-8f93-4896b03998f0,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32
